Sr. No.,Party Type,Abbreviation,Party Symbol,Party Name
202,U,BHUDRP,"Diamond,Ganna kisan,Pen nib with seven rays",Bahujan Dravida Party
203,U,BHUNP,Bat,Bhartiya Uday Nirman Party
204,U,BHYUJEP,"Battery Torch,Diamond,Ganna kisan,Pen nib with seven rays",Bharatiya Yuva Jan Ekta Party
205,U,BIP,Balloon,Bharatiya Inqalab Party
206,U,BJJP,Gas cylinder,Bharatiya Jan Jagriti Party
207,U,BJKD,"Bead necklace,Camera",Bharatiya Jan Kranti Dal (Democratic)
208,U,BJKVP,Grapes,Bajjikanchal Vikas Party
209,U,BJNJGD,Bench,Bharat Jan Jagran Dal
210,U,BJNP,Auto- rickshaw,Bhartiya Jan Nayak Party
211,U,BJSAP,Telephone,Bhartiya Jan Samman Party
212,U,BJVA,Coat,Bhartiya Jan Vikas Aaghadi
213,U,BKLJP,Glass tumbler,Bharat Ki Lok Jimmedar Party
214,U,BKP,Electric pole,Bahujan Kranti Party (Marxwad-Ambedkarwad)
215,U,BKPP,Kettle,Bharatiya Kisan Parivartan Party
216,U,BKrD,"Cot,Ganna kisan",Bhartiya Krishak Dal
217,U,BKVP,Ganna kisan,Bhartiya Kranti Vir Party
218,U,BLFP,Scissors,Bahujana Left Party
219,U,BLIP,Mixee,Blue India Party
220,U,BLKSKTIP,Tiller,Bharatiya Lokshakti Party
221,U,BLNDBHRTP,Gas cylinder,Buland Bharat Party
222,U,BLokSP,Electric pole,Bharat Lok Sewak Party
223,U,BLRP,"Bead necklace,Ganna kisan",Bhartiya Lokmat Rashtrwadi Party
224,U,BMAP,Pot,Bharatiya Mulnivasi Aazad Party
225,U,bmd,Computer,Dr. Bhimrao Ambedkar Dal
226,U,BMF,Slate,Bharatiya Momin Front
227,U,BMJP,Ganna kisan,Bharatiya Majdoor Janta Party
228,U,BMUP,Cot,Bahujan Mukti Party
229,U,BNARP,"CCTV Camera,Ganna kisan",Bharatiya Nyay-Adhikar Raksha Party
230,U,BNGLRNNP,Spanner,Bengaluru Nava Nirmana Party
231,U,BNGNBNRMS,Boat with man and sail,Bangali Nabanirman Sena
232,U,BNJD,Coconut farm,Bharatiya National Janata Dal
233,U,BNPA,Kettle,Bahujan National Party (Ambedkar)
234,U,BNRP,Glass tumbler,Bharatiya Nagrik Party
235,U,bns,"Dish antenna,Ganna kisan",Bhartiya Navjawan Sena (Paksha)
236,U,BPKP,"Bat,Grapes,Pen nib with seven rays",Bharatiya Prajagala Kalyana Paksha
237,U,BPS,Sewing machine,Bharat Peoples Sena
